time,gpsSpeed,gpsCourse,gpsAccuracyVert,gpsAccuracyHor,alt,altPressure
1456676060,1.07,272.4609375,4,5,0,101.1752
1456676060,1.07,272.4609375,4,5,0,101.1752
1456676060,1.07,272.4609375,4,5,0,101.1752
1456676060,1.07,272.4609375,4,5,0,101.1752
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676061,1.1,281.953125,4,5,0.06644154,101.1744
1456676062,1.07,284.0625,4,5,0.06644154,101.1744
1456676062,1.07,284.0625,4,5,0.06644154,101.1744
1456676062,1.07,284.0625,4,5,0.06644154,101.1744
1456676062,1.07,284.0625,4,5,0.06644154,101.1744
1456676062,1.07,284.0625,4,5,0.06644154,101.1744
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676062,1.07,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.09261513,101.1741
1456676063,0.92,284.0625,4,5,0.2959681,101.1716
1456676063,0.92,284.0625,4,5,0.2959681,101.1716
1456676063,0.92,284.0625,4,5,0.2959681,101.1716
1456676063,0.92,284.0625,4,5,0.2959681,101.1716
1456676063,0.92,284.0625,4,5,0.2959681,101.1716
1456676063,0.92,284.0625,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676064,0.74,293.203125,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676065,0.79,316.0546875,4,5,0.2959681,101.1716
1456676066,0.93,318.1640625,4,5,0.2959681,101.1716
1456676066,0.93,318.1640625,4,5,0.2959681,101.1716
1456676066,0.93,318.1640625,4,5,0.2959681,101.1716
1456676066,0.93,318.1640625,4,5,0.2959681,101.1716
1456676066,0.93,318.1640625,4,5,0.2959681,101.1716
1456676066,0.93,318.1640625,4,5,0.2959681,101.1716
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
1456676066,0.93,318.1640625,4,5,0.2818737,101.1718
